X,Y,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD
-77.021705313497094,38.914937455841219,428,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-12T16:02:57.000Z,,2017-12-27T17:00:00.000Z,2017-11-12T16:02:57.000Z,N,,,OPEN,OPEN,17-00636968,STANDARD,1825 7TH STREET NW,398117.79,138562.84,38.91493,-77.02170302,WASHINGTON,DC,20001,309669,1
-77.004365843918137,38.962508956115919,429,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-15T10:51:15.000Z,,2017-12-27T10:51:00.000Z,2017-11-15T10:51:15.000Z,N,,,OPEN,OPEN,17-00643267,STANDARD,203 PEABODY STREET NE,399621.82,143843.48,38.96250149,-77.00436356,WASHINGTON,DC,20011,52483,4
-76.936799223454287,38.905545143814287,430,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-17T15:09:29.000Z,,2017-12-29T15:09:00.000Z,2017-11-17T15:09:29.000Z,N,,,OPEN,OPEN,17-00649163,STANDARD,1119 45TH STREET NE,405482.05,137521.89,38.90553769,-76.93679696,WASHINGTON,DC,20019,73772,7
-76.916180596029704,38.89739635936256,431,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-17T15:11:09.000Z,,2018-01-04T15:11:00.000Z,2017-11-17T15:11:09.000Z,N,,,OPEN,OPEN,17-00649171,STANDARD,5900 FOOTE STREET NE,407271.28,136618.75,38.8973889,-76.91617834,WASHINGTON,DC,20019,288735,7
-77.021169778491924,38.949715023356887,432,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-14T12:16:48.000Z,,2017-12-29T12:16:00.000Z,2017-11-14T12:16:48.000Z,N,,,OPEN,OPEN,17-00640974,STANDARD,610 EMERSON STREET NW,398165.13,142423.44,38.94970756,-77.02116749,WASHINGTON,DC,20011,247209,4
-76.929773504053273,38.902036611080305,433,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-14T12:18:04.000Z,,2017-12-29T12:18:00.000Z,2017-11-14T12:18:04.000Z,N,,,OPEN,OPEN,17-00640980,STANDARD,4946 JAY STREET NE,406091.74,137132.86,38.90202915,-76.92977124,WASHINGTON,DC,20019,288370,7
-77.04712086878024,38.907803830468659,434,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-10T14:38:21.000Z,2017-11-17T14:03:01.000Z,2017-12-21T17:00:00.000Z,2017-11-10T14:38:21.000Z,N,,,CLOSED,CLOSED,17-00635786,STANDARD,2104 NEWPORT PLACE NW,395913.2,137771.78,38.90779638,-77.04711857,WASHINGTON,DC,20037,279533,2
-77.001301690504093,38.903506613565192,435,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-14T21:22:16.000Z,2017-11-15T17:05:10.000Z,2017-12-29T17:00:00.000Z,2017-11-14T21:22:16.000Z,Y,,,VOIDED,CLOSED,17-00642257,STANDARD,321 L STREET NE,399887.29,137293.7,38.90349916,-77.00129941,WASHINGTON,DC,20002,38653,6
-77.033634131004007,38.93974776622121,436,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-04T10:29:42.000Z,,2017-12-15T18:00:00.000Z,2017-11-04T10:29:42.000Z,N,,,OPEN,OPEN,17-00623063,STANDARD,1400 - 1499 BLOCK OF SHEPHERD STREET NW,397084.27,141317.31,38.9397399713307,-77.0336318345627,WASHINGTON,DC,20011,805579,4
-77.001838134549331,38.917329999247052,437,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-13T15:39:03.000Z,,2017-12-28T15:39:00.000Z,2017-11-13T15:39:03.000Z,N,,,OPEN,OPEN,17-00639102,STANDARD,2009 3RD STREET NE,399840.79,138828.21,38.91732254,-77.00183585,WASHINGTON,DC,20002,52856,5
-76.998213164409933,38.897731257981739,438,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-13T16:09:09.000Z,,2017-12-28T16:09:00.000Z,2017-11-13T16:09:09.000Z,N,,,OPEN,OPEN,17-00639231,STANDARD,609 6TH STREET NE,400155.2,136652.59,38.8977238,-76.99821088,WASHINGTON,DC,20002,4975,6
-76.98484001511936,38.908327177128044,439,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-03T15:52:47.000Z,,2017-12-20T16:52:00.000Z,2017-11-03T15:52:47.000Z,N,,,OPEN,OPEN,17-00622461,STANDARD,1233 RAUM STREET NE,401315.08,137828.93,38.90831972,-76.98483774,WASHINGTON,DC,20002,70262,5
-76.987172205264926,38.836331669654825,440,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-05T16:19:51.000Z,,2017-12-15T17:00:00.000Z,2017-11-05T16:19:51.000Z,N,,,OPEN,OPEN,17-00623906,STANDARD,,401113.92332699,129836.86040592,38.8363242272017,-76.9871699295396,,,20032,906785,8
-76.981214520871148,38.883923615864873,441,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-13T11:38:19.000Z,,2017-12-22T11:38:00.000Z,2017-11-13T11:38:19.000Z,N,,,OPEN,OPEN,17-00637903,STANDARD,1633 D STREET SE,401630.09,135120,38.88391616,-76.98121224,WASHINGTON,DC,20003,58889,6
-76.997618738233967,38.951117342770402,442,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-08T10:35:21.000Z,2017-11-17T11:12:54.000Z,2017-12-26T10:35:00.000Z,2017-11-08T10:35:21.000Z,N,,,CLOSED,CLOSED,17-00630751,STANDARD,609 FARRAGUT PLACE NE,400206.61,142578.9,38.95110988,-76.99761645,WASHINGTON,DC,20017,4991,5
-77.028099538174914,38.93025645876223,443,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-15T15:53:22.000Z,,2018-01-02T15:53:00.000Z,2017-11-15T15:53:22.000Z,N,,,OPEN,OPEN,17-00644554,STANDARD,3224 11TH STREET NW,397563.77,140263.53,38.930249,-77.02809724,WASHINGTON,DC,20010,284611,1
-77.030662476175252,38.965248029552285,444,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-11T18:40:04.000Z,,2017-12-27T17:00:00.000Z,2017-11-11T18:40:04.000Z,N,,,OPEN,OPEN,17-00636654,STANDARD,1322 RITTENHOUSE STREET NW,397342.85,144147.98,38.96524056,-77.03066018,WASHINGTON,DC,20011,257702,4
-76.993103046760965,38.952042493509857,445,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-14T09:05:10.000Z,,2017-12-29T09:05:00.000Z,2017-11-14T09:05:10.000Z,N,,,OPEN,OPEN,17-00640025,STANDARD,5072 10TH STREET NE,400598.03,142681.62,38.95203503,-76.99310076,WASHINGTON,DC,20017,13886,5
-77.007680928612743,38.954075971434989,446,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-14T09:08:13.000Z,,2017-12-26T09:08:00.000Z,2017-11-14T09:08:13.000Z,N,,,OPEN,OPEN,17-00640042,STANDARD,5320 ROCK CREEK CHURCH ROAD NE,399334.43,142907.36,38.95406851,-77.00767864,WASHINGTON,DC,20011,288604,5
-77.02144615312929,38.957655132369538,447,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-06T10:06:40.000Z,2017-11-16T09:23:10.000Z,2017-12-21T10:06:00.000Z,2017-11-06T10:06:40.000Z,N,,,CLOSED,CLOSED,17-00624849,STANDARD,615 LONGFELLOW STREET NW,398141.38,143304.87,38.95764767,-77.02144386,WASHINGTON,DC,20011,246635,4
-76.990559585821543,38.903130230854643,448,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-06T08:48:00.000Z,2017-11-17T11:33:44.000Z,2017-12-20T17:00:00.000Z,2017-11-06T08:48:00.000Z,N,,,CLOSED,CLOSED,17-00624259,STANDARD,1128 FLORIDA AVENUE NE,400819.06,137251.96,38.90312278,-76.9905573,WASHINGTON,DC,20002,73281,5
-76.969675446906777,38.92539645831706,449,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-08T14:15:51.000Z,2017-11-20T08:37:55.000Z,2017-12-20T14:15:00.000Z,2017-11-08T14:15:51.000Z,N,,,CLOSED,CLOSED,17-00631577,STANDARD,2611 FRANKLIN STREET NE,402629.73,139724.09,38.925389,-76.96967317,WASHINGTON,DC,20018,45877,5
-76.985922646946477,38.905365817738591,450,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-15T13:03:56.000Z,,2017-12-27T13:03:00.000Z,2017-11-15T13:03:56.000Z,N,,,OPEN,OPEN,17-00643840,STANDARD,1260 OWEN PLACE NE,401221.23,137500.18,38.90535836,-76.98592037,WASHINGTON,DC,20002,69430,5
-77.001335594930154,38.885589507717981,451,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-16T12:26:00.000Z,,2017-12-28T12:26:00.000Z,2017-11-16T12:26:00.000Z,N,,,OPEN,OPEN,17-00646080,STANDARD,320 NORTH CAROLINA AVENUE SE,399884.32,135304.76,38.88558206,-77.00133331,WASHINGTON,DC,20003,39004,6
-76.930858765702979,38.87899671016055,452,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-16T12:26:58.000Z,,2018-01-03T12:26:00.000Z,2017-11-16T12:26:58.000Z,N,,,OPEN,OPEN,17-00646084,STANDARD,5012 H STREET SE,405999.54,134575.18,38.87898926,-76.9308565,WASHINGTON,DC,20019,150886,7
-76.984962146110689,38.909263790654769,453,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-08T15:47:39.000Z,2017-11-17T11:37:57.000Z,2017-12-26T15:47:00.000Z,2017-11-08T15:47:39.000Z,N,,,CLOSED,CLOSED,17-00631899,STANDARD,1211 SIMMS PLACE NE,401304.47,137932.9,38.90925633,-76.98495987,WASHINGTON,DC,20002,71708,5
-77.067678194210004,38.905447325260944,454,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-17T11:39:04.000Z,,2017-12-29T11:39:00.000Z,2017-11-17T11:39:04.000Z,N,,,OPEN,OPEN,17-00648214,STANDARD,1211 34TH STREET NW,394129.98,137511.31,38.90543987,-77.06767589,WASHINGTON,DC,20007,271935,2
-76.992247161354427,38.862772870299082,455,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-10-30T17:13:46.000Z,2017-11-14T16:43:34.000Z,2017-12-11T17:00:00.000Z,2017-10-30T17:13:46.000Z,N,,,CLOSED,CLOSED,17-00612194,STANDARD,,400673.05999858,132771.97000864,38.8627654226938,-76.9922448824647,,,20020,905953,8
-76.958039329023492,38.928156146715672,456,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-10T15:43:15.000Z,,2017-12-21T17:00:00.000Z,2017-11-10T15:43:15.000Z,N,,,OPEN,OPEN,17-00635873,STANDARD,,403638.59139333,140030.83839938,38.9281486846431,-76.9580370566429,,,20018,904618,5
-76.970144847310522,38.925586564601176,457,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-06T08:01:51.000Z,,2017-12-15T17:00:00.000Z,2017-11-06T08:01:51.000Z,N,,,OPEN,OPEN,17-00624165,STANDARD,,402589.02000036,139745.17999911,38.9255791034977,-76.970142571372,,,20018,904221,5
-77.014961989907277,38.969930065584499,458,S0391,Street Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-06T08:08:08.000Z,,2017-12-15T17:00:00.000Z,2017-11-06T08:08:08.000Z,N,,,OPEN,OPEN,17-00624178,STANDARD,,398703.61001275,144667.39001968,38.9699225972164,-77.0149596975031,,,20012,902241,4
-77.030778007964969,38.918292914174579,459,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2017-11-06T21:41:26.000Z,2017-11-17T16:38:14.000Z,2017-12-21T17:00:00.000Z,2017-11-06T21:41:26.000Z,N,,,CLOSED,CLOSED,17-00626904,STANDARD,1333 V STREET NW,397331.08,138935.55,38.91828546,-77.03077571,WASHINGTON,DC,20009,240332,1
